gene	n_ss_samples_with_upoutlier	pct_ss_samples_with_upoutlier	list_of_samples
AC066694.1	8	22.22222222222222	THR39_1360_S01, THR39_1361_S01, THR39_1362_S01, THR39_1363_S01, THR39_1364_S01, THR39_1365_S01, THR39_1377_S01, THR39_1369_S01
AC132217.4	5	13.88888888888889	TCGA-MJ-A850-01, TCGA-DX-A7ER-01, TCGA-FX-A8OO-01, THR39_1378_S01, TCGA-DX-A7EQ-01
ADAM33	10	27.77777777777778	THR39_1363_S01, THR39_1364_S01, THR39_1370_S01, THR39_1371_S01, THR39_1373_S01, THR39_1376_S01, TH03_0156_S01, THR39_1368_S01, THR39_1374_S01, THR39_1378_S01
ADAMTSL2	6	16.666666666666664	TCGA-X6-A8C7-01, TCGA-DX-A7EO-01, TCGA-Z4-AAPF-01, THR39_1361_S01, THR39_1375_S01, THR39_1372_S01
ADARB1	5	13.88888888888889	TCGA-DX-AB3B-01, THR39_1360_S01, THR39_1361_S01, THR39_1362_S01, THR31_1386_S01
ADCY4	10	27.77777777777778	TCGA-DX-A7EO-01, THR39_1363_S01, THR39_1370_S01, THR39_1373_S01, THR39_1376_S01, THR31_1386_S01, THR31_1393_S01, TH03_0156_S01, THR39_1374_S01, THR39_1378_S01
ADGRA2	7	19.444444444444446	TH03_0112_S02, THR39_1364_S01, THR39_1376_S01, THR31_1386_S01, THR31_1392_S01, TH27_0976_S01, THR39_1368_S01
ADGRA3	21	58.333333333333336	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TCGA-WK-A8XT-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1361_S01, THR39_1363_S01, THR39_1366_S01, THR39_1367_S01, THR39_1371_S01, THR39_1375_S01, THR39_1376_S01, THR31_1386_S01, THR31_1392_S01, THR31_1393_S01, TH03_0156_S01, TH27_0976_S01, THR39_1368_S01, THR39_1369_S01, THR39_1374_S01
ADGRB1	12	33.33333333333333	TCGA-DX-AB3B-01, TCGA-X6-A8C7-01, TCGA-DX-A7ER-01, TH03_0112_S01, TH03_0112_S02, THR39_1360_S01, THR39_1371_S01, THR31_1386_S01, THR39_1368_S01, THR39_1369_S01, THR39_1372_S01, THR39_1378_S01
AKAP9	10	27.77777777777778	TH03_0112_S01, TH03_0112_S02, THR39_1363_S01, THR39_1364_S01, THR39_1367_S01, THR39_1370_S01, THR39_1371_S01, THR39_1376_S01, THR39_1372_S01, THR39_1374_S01
